lq_month1_emplvl,oty_month1_emplvl_pct_chg,lq_month2_emplvl,oty_month2_emplvl_pct_chg,lq_month3_emplvl,oty_month3_emplvl_pct_chg,lq_qtrly_contributions,oty_qtrly_contributions_pct_chg,lq_avg_wkly_wage,lq_total_qtrly_wages
1.41,1.2,1.42,1.3,1.43,1.0,0.0,0.0,1.3,1.84
1.43,1.1,1.44,0.7,1.44,1.0,0.0,0.0,1.16,1.67
1.42,0.0,1.44,-5.5,1.44,-5.2,0.0,0.0,1.27,1.82
1.45,-2.8,1.45,0.5,1.45,-0.1,0.0,0.0,1.23,1.78
1.55,-1.8,1.56,-1.7,1.57,-1.7,0.03,-43.1,1.09,1.7
1.58,-0.4,1.59,-0.5,1.58,-0.1,0.02,-43.6,1.08,1.71
1.59,0.1,1.6,0.0,1.59,-0.1,0.01,-61.4,1.01,1.62
1.6,-0.3,1.6,-0.5,1.6,-0.8,0.01,-80.3,1.11,1.77
1.11,-3.4,1.11,-3.5,1.11,-3.6,1.34,60.0,1.05,1.16
1.11,-0.6,1.11,4.8,1.14,4.7,0.91,74.9,0.95,1.07
1.25,1.6,1.21,1.7,1.13,1.7,0.77,126.8,1.03,1.23
1.12,1.5,1.12,1.2,1.12,1.2,1.0,162.2,1.02,1.14
0.89,-3.0,0.89,-2.9,0.89,-2.0,0.94,46.6,0.94,0.84
0.89,14.2,0.89,9.6,0.89,6.7,1.07,88.9,0.95,0.85
0.88,6.3,0.88,5.0,0.89,4.8,1.04,66.6,0.95,0.84
0.89,4.5,0.89,4.6,0.89,4.6,0.99,66.6,0.95,0.84
0.37,1.2,0.37,-3.6,0.38,-2.4,0.0,0.0,1.08,0.4
0.35,-3.7,0.38,-4.6,0.36,-4.8,0.0,0.0,1.11,0.4
0.34,-11.8,0.37,-30.8,0.35,-34.2,0.0,0.0,0.98,0.35
0.36,-16.3,0.36,-9.3,0.38,-3.5,0.0,0.0,1.15,0.42
1.66,-0.5,1.61,-2.9,1.59,-1.2,0.0,0.0,1.24,2.01
1.5,-6.7,1.55,-11.2,1.59,-2.2,0.0,0.0,1.13,1.75
1.63,4.5,1.66,4.3,1.63,3.3,0.0,0.0,1.27,2.08
1.64,-0.2,1.69,4.1,1.76,7.8,0.0,0.0,1.27,2.15
1.77,-2.1,1.75,-3.4,1.77,-2.1,0.3,83.8,1.13,1.99
1.77,-0.8,1.76,6.1,1.81,6.4,0.12,248.1,1.02,1.82
1.92,1.5,1.88,1.3,1.82,5.8,0.18,1011.8,1.17,2.19
1.8,2.1,1.76,-1.4,1.71,-2.1,0.08,1150.0,1.17,2.05
